HC_ID,NAME_HIN,NAME_ENG,DISTRICT_ID,BLOCK_ID
0242005,सी.एच.सी. डोगरगढ,CHC Dongargarh,42,04
0242006,सी.एच.सी. घुमका,CHC Ghumka,42,01
0242007,विकासखंड कार्यालय-पी.एच.सी. खैरागढ,Block Office PHC Khairagarh,77,05
0242008,सी.एच.सी. मानपुर,CHC Manpur,79,09
0242009,सी.एच.सी. मोहला,CHC Mohla,79,08
0242369,सी.एच.सी. गणडई,CHC Gandai,77,06
0242383,सी.एच.सी. सोमनी,CHC Somni,42,01
0243001,विकासखंड कार्यालय-बालोद,Block Office-Balod,69,05
0243002,सी.एच.सी. धमाधा,CHC Dhamdha,43,02
0243003,सी.एच.सी. खण्‍डसरा,CHC Khandsara,68,09
0243004,सी.एच.सी. नवागढ,CHC Nawagarh,68,12
0243005,सी.एच.सी. साजा,CHC Saja,68,10
0243006,सी.एच.सी. गुन्देरदेही,CHC Gunderdehi,69,03
0243007,सी.एच.सी. डौडीलोहारा,CHC Dondi Lohara,69,08
0243008,सी.एच.सी. गुरूर,CHC Gurur,69,06
0243009,सी.एच.सी. बेरला,CHC Berla,68,11
0243010,सी.एच.सी. डौण्‍डी,CHC Dondi,69,07
0243011,सी.एच.सी. झीट,CHC Jheet,43,04
0243013,सी.एच.सी. अरजुन्दा,CHC Arjunda,69,03
0243014,सी.एच.सी. उतैइ,CHC Utai,43,01
0243585,सी.एच.सी. देवरी बंगला,CHC Devri Bangla,69,08
0243591,सी.एच.सी.खम्‍हरिया,CHC Khamhariya,68,10
0243593,सी.एच.सी. निकुम,CHC Nikum,43,01
0243594,सी.एच.सी. पाटन,CHC Patan,43,04
0243595,सी.एच.सी. बोरी,CHC Bori,43,02
0243596,सी.एच.सी. अहिवारा,CHC Ahivara,43,02
0243607,सी.एच.सी. कुम्हारी,CHC Kumhari,43,02
0244001,सी.एच.सी. अभनपुर,CHC ABHANPUR,44,02
0244002,सी.एच.सी. आरंग,CHC Arang,44,03
0244003,सी.एच.सी. राजिम,CHC Rajim,67,13
0244004,सी.एच.सी. पलारी,CHC Palari,66,06
0244005,सी.एच.सी. देवभोग,CHC Dewbhog,67,15
0244006,सी.एच.सी. छुरा,CHC Churra,67,12
0244007,सी.एच.सी. मैनपुर,CHC Mainpur,67,14
0244008,सी.एच.सी. तिल्दा,CHC Tilda,44,04
0244009,सी.एच.सी. फिंगेश्वर,CHC Fingeshwar,67,13
0244010,सी.एच.सी. धरसीवा,CHC Dharsiwa,44,01
0244011,सी.एच.सी. भाटापारा,CHC Bhatapara,66,09
0244012,सी.एच.सी. बिलाईगढ़,CHC Bhilaigarh,81,07
0244013,विकासखंड कार्यालय- पी.एच.सी. गरियाबंद,Block Office-PHC Gariaband,67,11
0244014,सी.एच.सी. कसडोल,CHC Kasdol,66,08
0244015,सी.एच.सी. लवन,CHC Lavan,66,05
0244016,सी.एच.सी. सिमगा,CHC Simga,66,10
0244678,सी.एच.सी. नवापारा,CHC NAWAPARA,44,02
0244763,सी.एच.सी. खरोरा,CHC Kharora,44,04
0245001,सी.एच.सी. बदे कित्पाल,CHC BADE KILEPAL,45,04
0245002,सी.एच.सी. विश्रामपुरी,CHC VISHRAMPURI,65,12
0245003,सी.एच.सी. बकावण्ड,CHC BAKAWAND,45,03
0245004,विकासखंड कार्यालय-बस्तर,Block Office-Bastar,45,02
0245005,सी.एच.सी. दरभा,CHC DARBHA,45,05
0245006,सी.एच.सी. जगदलपुर,CHC JAGDALPUR,45,01
0245007,सी.एच.सी. केशकाल,CHC KESHKAL,65,11
0245008,सी.एच.सी. मर्दापाल,CHC Mardapal,65,08
0245009,सी.एच.सी. लोहण्डीगुड़ा,CHC LOHANDIGUDA,45,07
0245010,सी.एच.सी. माकड़ी,CHC MAKDI,65,10
0245011,सी.एच.सी. फरसगांव,CHC PHARASGAON,65,09
0245012,सी.एच.सी. तोकोपाल,CHC TOKAPAL,45,06
0253003,सी.एच.सी. जनकपुर (भरतपुर),CHC Janakpur (Bharatpur),78,05
0253004,सी.एच.सी. मनेन्द्रगढ़,CHC Manendragarh,78,02
0253005,सी.एच.सी. सोनहत,CHC Sonhat,53,03
0253204,सी.एच.सी. पटना,CHC Patna,53,01
0253205,सी.एच.सी. चिरमिरी,CHC Chirmiri,78,04
0254001,सी.एच.सी. अकलतरा,CHC AKALTARA,54,03
0254002,सी.एच.सी. बलौदा,CHC BALODA,54,04
0254003,सी.एच.सी. बम्‍हनीडीह,CHC BAMHNIDIH,54,05
0254004,सी.एच.सी. डभरा,CHC DABHARA,80,09
0254005,सी.एच.सी. जैजैपुर,CHC JAIJAIPUR,80,06
0254006,सी.एच.सी. खरौद,CHC KHARAUD,54,02
0254007,सी.एच.सी. सक्‍ती,CHC SAKTI,80,07
0254008,सी.एच.सी. मालखरौदा,CHC Malkharoda,80,08
0254009,सी.एच.सी. नवागढ्,CHC NAVAGRH,54,01
0254328,सी.एच.सी. पामगढ़,CHC Pamgarh,54,02
0254405,सी.एच.सी. केरा,CHC kera,54,01
0255001,सी.एच.सी. करतला,CHC KARTALA,55,02
0255002,सी.एच.सी. कटघोरा,CHC KATGHORA,55,03
0255003,सी.एच.सी. पाली,CHC PALI,55,04
0255004,सी.एच.सी. पोनदी उपरोरा ,CHC PONDI UPRORA,55,05
0255209,विकासखंड कार्यालय-पी.एच.सी. कोरबा,Block Office-PHC Korba,55,01
0255333,सी.एच.सी. दीपका,CHC Dipka,55,03
0255502,सी.एच.सी. पताढ़ी,CHC Pathdhi,55,01
0256001,सी.एच.सी.  कांसाबेल,CHC Kansabel,56,04
0256002,सी.एच.सी. बगीचा,CHC Bagicha,56,03
0256003,सी.एच.सी. लोदाम,CHC Lodam,56,01
0256004,सी.एच.सी. कुनकुरी,CHC Kunkuri,56,06
0256005,सी.एच.सी. फरसाबहार,CHC Pharsabahar,56,07
0256006,सी.एच.सी. मनोरा,CHC Manora,56,02
0256007,सी.एच.सी.  दुलदुला,CHC Duldula,56,05
0256008,सी.एच.सी. पत्थलगांव,CHC PATHALGAON,56,08
0257001,सी.एच.सी. बोडला,CHC Bodla,57,02
0257002,सी.एच.सी. झलमला,CHC Jhalmala,57,02
0257003,सी.एच.सी. पिपरिया,CHC Pipariya,57,01
0257004,सी.एच.सी. पंडरिया,CHC Pandariya,57,04
0257005,सी.एच.सी. स.लोहारा,CHC S lohara,57,03
0257208,सी.एच.सी. कुक्दुर,CHC Kukdur,57,04
0258001,सी.एच.सी. बागबाहरा,CHC Bagbahra,58,02
0258002,सी.एच.सी. बसना,CHC Basna,58,05
0258003,सी.एच.सी. पिथौरा,CHC Pithora,58,03
0258004,सी.एच.सी. सरायपाली,CHC Saraipali,58,04
0258205,सी.एच.सी. तुमगांव,CHC Tumgaon,58,01
0259001,सी.एच.सी. गुजरा,CHC Gujra,59,01
0259002,सी.एच.सी. कुरुद,CHC Kurud,59,03
0259003,सी.एच.सी. मगरलोड,CHC MAGARLOD,59,02
0259004,सी.एच.सी. नगरी,CHC Nagari,59,04
0260001,सी.एच.सी. धनेलीकन्‍हार,CHC Dhanelikanhar,60,01
0260002,सी.एच.सी. चारामा,CHC Charama,60,03
0260003,सी.एच.सी. अमोडा,CHC Amoda,60,02
0260004,सी.एच.सी. नरहरपुर,CHC Narharpur,60,02
0260005,सी.एच.सी. भानुप्रतापपुर,CHC Bhanupratappur,60,04
0260006,सी.एच.सी. कोयलीबेडा,CHC Koilibeda,60,07
0260007,सी.एच.सी. अंतागढ,CHC Antagarh,60,06
0260008,सी.एच.सी. दुर्गुकोंदल,CHC Durgukondal,60,05
0261001,सी.एच.सी. गीदम,CHC Geedam,61,02
0261002,सी.एच.सी. कुआकोण्‍डा,CHC Kuakonda,61,03
0261003,सी.एच.सी. कटेकल्‍याण,CHC Kateklyan,61,04
0261004,सी.एच.सी. छिन्‍दगढ़,CHC Chhindgarh,64,11
0261005,विकासखंड कार्यालय-सुकमा,Block Office-Sukma,64,09
0261006,सी.एच.सी. कोन्‍टा,CHC Konta,64,10
0261219,विकासखंड कार्यालय-पी.एच.सी. दन्तेवाड़ा,Block Office-PHC Dantewada,61,01
0261267,सी.एच.सी. किरन्दुल,CHC Kirandul,61,03
0262001,विकासखंड कार्यालय-नारायणपुर,Block Office-Narayanpur,62,13
0262002,सी.एच.सी. ओरछा,CHC Orchha,62,14
0263001,सी.एच.सी. गंगलूर,CHC Gangaloor,63,05
0263002,सी.एच.सी. भैरमगढ़,CHC Bhairamgarh,63,06
0263003,सी.एच.सी. उसूर,CHC Usoor,63,07
0263004,सी.एच.सी. भोपालपटनम (ब्लाक पी.एच.सी. भोपालपटनम),CHC Bhopalpattanam ,63,08
0263136,सी.एच.सी. नैलसरनार,CHC Nailsarnar,63,06
0264419,सी.एच.सी. दोरनापाल,CHC Dornapal,64,10
0265399,सी.एच.सी. धनोरा,CHC Dhanora,65,11
0266774,सी.एच.सी. सुहेला,CHC Suhela,66,10
0270493,सी.एच.सी. सरगांव,CHC Sargaon,70,06
0271735,सी.एच.सी.  भटगांव,CHC Bhatgoan,71,10
0271754,सी.एच.सी. लटोरी,CHC Latori,71,09
0271756,सी.एच.सी. बिहारपुर,CHC Biharpur,71,09
0272722,सी.एच.सी.  रघुनाथनगर,CHC Raghunathnagar,72,19
0339021,पीएचसी डुमरखोला,PHC Dumarkhola,72,18
0339022,पीएचसी महराजगंज,PHC Maharajganj,72,18
0339023,पीएचसी पस्‍ता,PHC Pasta,72,18
0339024,पीएचसी रनहत,PHC Ranhat,72,18
0339025,पीएचसी बटईकेला,PHC Bataikela,39,04
0339026,पीएचसी घुटरापारा,PHC Ghutrapara,39,04
0339028,पीएचसी भफोली,PHC Bhafuli,39,01
0339029,पीएचसी नवानगर,PHC Nawanagar,39,01
0339030,पीएचसी दरिमा,PHC Darima,39,01
0339031,पीएचसी बरकेला,PHC Barkela,39,01
0339032,पीएचसी सुखरी,PHC Sukhari,39,01
0339033,पीएचसी फुन्‍दुरडिहारी,PHC Fundurdihari,39,01
0339035,पीएचसी गोरपानी,PHC Gorpani,71,10
0339036,पीएचसी सोनपुर,PHC Sonpur,71,10
0339037,पीएचसी बंजा,PHC Banja,71,10
0339038,पीएचसी सलका,PHC Salka,71,10
0339039,पीएचसी चंद्रमेडहा,PHC Chadramedha,71,10
0339041,पीएचसी बतरा,PHC Batra,71,10
0339043,पीएचसी बरगीडीह,PHC Bargidih,39,07
0339044,पीएचसी डुमरडीह,PHC Dumardih,39,07
0339045,पीएचसी लुण्‍डरा,PHC Lundra,39,07
0339046,पीएचसी उदारी,PHC Udari,39,07
0339047,पीएचसी पटोरा,PHC Patora,39,07
0339048,पीएचसी सामरी,PHC Samri,72,15
0339049,पीएचसी चांदो,PHC Chando,72,15
0339050,पीएचसी जवाहरनगर,PHC Jawaharnagar,72,15
0339051,पीएचसी भुन्‍सीकला,PHC Bhunsikala,72,15
0339053,पीएचसी कुन्‍नी,PHC Kunni,39,02
0339054,पीएचसी गुमगरा,PHC Gumgara,39,02
0339056,पीएचसी लहपटरा,PHC Lahpatra,39,02
0339058,पीएचसी कमलेशवरपुर,PHC Kamleshwerpur,39,08
0339059,पीएचसी बंदना,PHC Bandana,39,08
0339061,पीएचसी मोहरसोप,PHC Moharsop,71,13
0339063,पीएचसी धरसेढी,PHC Dharsedi,71,13
0339064,पीएचसी लांजित,PHC Lanjit,71,13
0339066,पीएचसी सिलोटा,PHC Silota,71,14
0339067,पीएचसी  करसी,PHC Karsi,71,14
0339068,पीएचसी रमकोला,PHC Ramkola,71,14
0339069,पीएचसी रेवटी,PHC Rewti,71,14
0339070,पीएचसी धरमपुर,PHC Dharampur,71,14
0339071,पीएचसी सोनगरा,PHC Songra,71,14
0339072,पीएचसी पेण्‍डरी,PHC Pendri,71,14
0339073,पीएचसी पम्‍पापुर,PHC Pampapur,71,14
0339074,पीएचसी उमेशपुर,PHC Umeshwar pur,71,12
0339075,पीएचसी तारा,PHC Tara,71,12
0339077,पीएचसी आरा,PHC Aara,72,06
0339078,पीएचसी बरियों,PHC Bario,72,06
0339079,पीएचसी गोपालपुर,PHC Gopalpur,72,06
0339080,पीएचसी रेवतपुर,PHC Rewatpur,72,06
0339083,प्रा.स्वा.कें. दिन्दो,PHC Dindo,72,17
0339085,प्रा.स्वा.कें. राम्चन्द्रपुर,PHC Ramchandrapur,72,17
0339086,प्रा.स्वा.कें.सनवाल,PHC Sanawal,72,17
0339087,प्रा.स्वा.कें. जमवंतपुर ,PHC Jamwantpur,72,17
0339088,पीएचसी गणेशपुर,PHC Ganehspur,71,11
0339089,पीएचसी ढेवनगर,PHC Devnagar,71,11
0339093,पीएचसी डीपाडीह,PHC Dipadihkala,72,16
0339094,पीएचसी ढोढागांव,PHC Dhodhagaon,39,03
0339095,पीएचसी गुतुरमा,PHC Guturma,39,03
0339096,पीएचसी प्रतापगढ,PHC Pratapgarh,39,03
0339098,पीएचसी बसदई,PHC Basdei,71,09
0339099,पीएचसी केतका,PHC Ketka,71,09
0339102,पीएचसी कंदरई,PHC Kandrai,71,09
0339103,पीएचसी अजबनगर,PHC Ajabnagar,71,09
0339104,पीएचसी कमलपुर,PHC Kamalpur,71,09
0339106,पीएचसी सालका,PHC Salka,39,05
0339107,पीएचसी केदमा,PHC Kedma,39,05
0339109,पीएचसी खम्‍हरिया,PHC Khamhariya ,39,05
0339112,पीएचसी मुरकोल,PHC Murkol,72,19
0339113,पीएचसी चलगली,PHC Chalgali,72,19
0339114,पीएचसी बडकागांव,PHC Badkagaon,72,19
0339115,पीएचसी बरतीकला,PHC Bartikala,72,19
0339116,पीएचसी सुलसुली,PHC Sulsuli,72,19
0339712,पीएचसी रघुनाथपुर,PHC Raghunathpur,39,07
0339903,पीएचसी राजापुर,PHC Rajapur,39,08
0340011,प्राथ स्‍वा केन्‍द्र  दगोरी,PHC Dagori,40,01
0340012,प्राथ स्‍वा केन्‍द्र बरतोरी,PHC Bartori,40,01
0340013,प्राथ स्‍वा केन्‍द्र हरदीकला,PHC Hardikala,40,01
0340014,प्राथ स्‍वा केन्‍द्र लिगिंयाडीह,PHC Lingiyadih,40,01
0340015,प्राथ स्‍वा केन्‍द्र देवरीखुर्द,PHC Devrikhurda,40,01
0340016,प्राथ स्‍वा केन्‍द्र बोडसरा,PHC Bodsara,40,01
0340017,प्राथ स्‍वा केन्‍द्र कडार,PHC Kadar,40,01
0340018,प्राथ स्‍वा केन्‍द्र चकरभाठा,PHC Chakarbhata,40,01
0340019,प्राथ स्‍वा केन्‍द्र बेलतरा,PHC Beltara,40,01
0340020,प्राथ स्‍वा केन्‍द्र सेनेटोरियम,PHC FRU Senetorium,76,09
0340021,प्राथ स्‍वा केन्‍द्र केंवची,PHC Keonchi,76,09
0340022,प्राथ स्‍वा केन्‍द्र खोड्री,PHC Khodri,76,09
0340023,प्राथ स्‍वा केन्‍द्र सधवानी,PHC Sadhwani,76,09
0340024,प्राथ स्‍वा केन्‍द्र बस्‍ती,PHC Basti,76,09
0340026,प्राथ स्‍वा केन्‍द्र केन्‍दा,PHC Kenda,40,03
0340027,प्राथ स्‍वा केन्‍द्र बेलगहना,PHC Belgahna,40,03
0340028,प्राथ स्‍वा केन्‍द्र चपोरा,PHC Chapora,40,03
0340029,प्राथ स्‍वा केन्‍द्र करगीकला,PHC Kargikala,40,03
0340030,प्राथ स्‍वा केन्‍द्र टेंगनमाडा,PHC Teganmada,40,03
0340031,प्राथ स्‍वा केन्‍द्र आमागोहन,PHC Aamagohan,40,03
0340032,प्राथ स्‍वा केन्‍द्र पौन्‍डी,PHC Pondi,40,03
0340033,प्राथ स्‍वा केन्‍द्र नवागांव सल्‍का,PHC Navagoan (Salka),40,03
0340034,प्राथ स्‍वा केन्‍द्र शिवतराई,PHC Shivtarai,40,03
0340036,प्राथ स्‍वा केन्‍द्र सेमरसल,PHC Semarsal,70,07
0340037,प्राथ स्‍वा केन्‍द्र खुडिया,PHC Khudiya,70,07
0340038,प्राथ स्‍वा केन्‍द्र साल्‍हेघोरी,PHC Salheghori,70,07
0340039,प्राथ स्‍वा केन्‍द्र राम्‍हेपुर,PHC Ramhepur,70,07
0340040,प्राथ स्‍वा केन्‍द्र चंदेली,PHC Chandeli,70,07
0340041,प्राथ स्‍वा केन्‍द्र खैरवारखुर्द,PHC Khairwar khurd,70,07
0340042,प्राथ स्‍वा केन्‍द्र खपरी,PHC Khapri,70,07
0340043,प्राथ स्‍वा केन्‍द्र देवरहट,PHC Devarhat,70,07
0340044,प्राथ स्‍वा केन्‍द्र सिवनी,PHC Siwni,76,10
0340045,प्राथ स्‍वा केन्‍द्र धोबहर,PHC Dhobhar,76,10
0340046,प्राथ स्‍वा केन्‍द्र दानीकुण्‍डी,PHC Danikundi,76,10
0340047,प्राथ स्‍वा केन्‍द्र सेमरदर्री,PHC Semardarri,76,10
0340048,प्राथ स्‍वा केन्‍द्र भर्रीडांड,PHC Bharridand,76,10
0340049,प्राथ स्‍वा केन्‍द्र दर्रीघाट,PHC Darrighat,40,02
0340050,प्राथ स्‍वा केन्‍द्र जयरामनगर,PHC Jairamnagar,40,02
0340051,प्राथ स्‍वा केन्‍द्र खौन्‍दरा,PHC Khondhara,40,02
0340052,प्राथ स्‍वा केन्‍द्र मल्‍हार,PHC Malhar,40,02
0340053,प्राथ स्‍वा केन्‍द्र नवागांव,PHC Nawagaon,40,02
0340054,प्राथ स्‍वा केन्‍द्र पचपेडी,PHC Pachpedi,40,02
0340055,प्राथ स्‍वा केन्‍द्र लोहर्सी,PHC Loharsi,40,02
0340056,प्राथ स्‍वा केन्‍द्र कुकर्दीकला,PHC Kukurdikala,40,02
0340057,प्राथ स्‍वा केन्‍द्र जौंधरा,PHC Jondhara,40,02
0340058,प्राथ स्‍वा केन्‍द्र ओखर,PHC Okhar,40,02
0340059,प्राथ स्‍वा केन्‍द्र सीपत,PHC Seepat,40,02
0340060,प्राथ स्‍वा केन्‍द्र जरहागांव,PHC Jarhagaun,70,05
0340061,प्राथ स्‍वा केन्‍द्र पदमपुर,PHC Padampur,70,05
0340062,प्राथ स्‍वा केन्‍द्र बरेला,PHC Barela,70,05
0340063,प्राथ स्‍वा केन्‍द्र नवागांव चीनू,PHC Navagaun chinu,70,05
0340064,प्राथ स्‍वा केन्‍द्र दशरंगपुर,PHC Dashrangpur,70,05
0340065,प्राथ स्‍वा केन्‍द्र खम्‍‍हरिया,PHC Khamhariya1,70,05
0340066,प्राथ स्‍वा केन्‍द्र सेतगंगा,PHC Setganga,70,05
0340067,प्राथ स्‍वा केन्‍द्र पालछुआ,PHC Palchuwa,70,05
0340068,प्राथ स्‍वा केन्‍द्र आमाडांड,PHC Amadand,76,08
0340069,प्राथ स्‍वा केन्‍द्र नवागांव,PHC Nawaganw,76,08
0340070,प्राथ स्‍वा केन्‍द्र कोटमी,PHC Kotmi,76,08
0340071,प्राथ स्‍वा केन्‍द्र आमडीखुर्द,PHC Amadikhurd,76,08
0340072,प्राथ स्‍वा केन्‍द्र कोडगार,PHC Kodgar,76,08
0340073,प्राथ स्‍वा केन्‍द्र बेलपान,PHC BELPAN,40,04
0340074,प्राथ स्‍वा केन्‍द्र दैजा,PHC DAIJJA,40,04
0340075,प्राथ स्‍वा केन्‍द्र पाली,PHC PALI,40,04
0340076,प्राथ स्‍वा केन्‍द्र जूनापारा,PHC JUNAPARA,40,04
0340077,प्राथ स्‍वा केन्‍द्र अमसेना,PHC AMSENA,40,04
0340078,प्राथ स्‍वा केन्‍द्र गनियारी,PHC GANIYARI,40,04
0340079,प्राथ स्‍वा केन्‍द्र जरौंधा,PHC JARONDHA,40,04
0340080,प्राथ स्‍वा केन्‍द्र मोछ,PHC MOCHHA,40,04
0340081,प्राथ स्‍वा केन्‍द्र सागर,PHC SAGAR,40,04
0340424,प्राथ स्‍वा केन्‍द्र रामबोड,Rambode,70,06
0340425,प्राथ स्‍वा केन्‍द्र जगताकापा,Jagtakapa,70,06
0340426,प्राथ स्‍वा केन्‍द्र भटगांव,Bhatgaon,70,06
0340494,"प्राथ.स्‍वा.केन्‍द्र, लखराम ",PHC Lakhram,40,01
0340495,"प्राथ.स्‍वा.केन्‍द्र, सिर्गीटटी ",PHC Sirgitti,40,01
0340504,प्राथ स्‍वा केन्‍द्र दरगाह लुतरा शरीफ,PHC Dargah Lutra Sharif,40,02
0341010,प्राथ.स्‍वा.केन्‍द्र सरिया,PHC SARIA,81,04
0341011,प्राथ.स्‍वा.केन्‍द्र लेंध्रा,PHC LENDHRA,81,04
0341012,प्राथ.स्‍वा.केन्‍द्र डोंगरीपाली,PHC DONGRIPALI,81,04
0341013,प्राथ.स्‍वा.केन्‍द्र बोंदा,PHC BONDA,81,04
0341014,प्राथ.स्‍वा.केन्‍द्र बिंजकोट,PHC BINJKOT,41,05
0341015,प्राथ.स्‍वा.केन्‍द्र सोण्‍डका,PHC SONDAKA,41,05
0341016,प्राथ.स्‍वा.केन्‍द्र तुरेकेला,PHC TUREKELA,41,05
0341017,प्राथ.स्‍वा.केन्‍द्र सरवानी,PHC SARWANI,41,05
0341018,प्राथ.स्‍वा.केन्‍द्र बर्रा,PHC BARRA,41,05
0341019,प्राथ.स्‍वा.केन्‍द्र गोरपार,PHC GORPAR,41,05
0341020,प्राथ.स्‍वा.केन्‍द्र जोबी,PHC JOBI,41,05
0341021,प्राथ.स्‍वा.केन्‍द्र कुडुमकेला,PHC KUDUMKELA,41,06
0341022,प्राथ.स्‍वा.केन्‍द्र कया,PHC KAYA,41,06
0341023,प्राथ.स्‍वा.केन्‍द्र टेण्‍डा नवापारा,PHC TENDA NAWAPARA,41,06
0341024,प्राथ.स्‍वा.केन्‍द्र बहिरकेला,PHC  BAHIRKELA,41,06
0341025,प्राथ.स्‍वा.केन्‍द्र राजपुर,PHC-RAJPUR,41,08
0341026,प्राथ.स्‍वा.केन्‍द्र मुकडेगा,PHC MUKDEGA,41,08
0341027,प्राथ.स्‍वा.केन्‍द्र लमडांड,PHC LAMDAND,41,08
0341028,प्राथ.स्‍वा.केन्‍द्र लारीपानी,PHC LARIPANI,41,08
